cluster_id,source_id
4,2961576870551150592
1,2965599227683041536
3,4391594340652701184
2,4391663055833236864
1,4998831518630545536
1,5009731462729300480
1,5009834404505652224
0,4999137255878341888
1,4990058279130530304
0,5014915591335181952
3,5015354433913706496
1,5016589288551181696
0,5433861304278457216
4,5810424967139870976
1,5810539900465356416
0,2925442520417928320
2,2926727402835153024
3,2925619747951394176
4,3704035841100163072
3,3219993267359944448
1,266773548471427968
4,5372007830983912832
3,416340287000326144
4,5709500073267494272
0,1838824693699646336
0,286493186437334016
3,1272208693632771968
3,1275905526605127552
0,1272695949082106112
4,1265170169946185088
4,1270563858601265152
1,1270807812740120064
3,1278287378026439424
4,1278604484051048064
1,4362154538862315904
1,4496948617118777600
3,4524311712018488832
0,4524548386205861760
3,1936533928375145728
1,1550757766822204032
3,1550812192648604160
2,1551088548024093952
0,1551592914623580672
1,1553654224046893696
3,1553849146843279488
3,1553870278082342656
4,1554828605542916224
3,1560793249966936832
0,5913092071551919616
3,4450042282840862720
4,4446592874350360832
1,4446624450949777408
4,1904988046419877760
3,5819757312612231424
1,2746751398199891072
0,2977631527022199936
4,2979338140867403648
0,839685111599785600
1,828994388249381248
3,4443836776652403072
3,4445203916281194624
0,4883490451071223296
3,4888765255026312192
0,4888901766266543104
3,5435893785883564544
1,4890199774103324544
4,4890427201211650816
1,6441139299644043648
3,6440493916382290432
1,3827193478556143104
0,5807014243408821248
3,4580264316870607360
0,980708919655874944
0,5371260918993377024
4,5370152405114661248
1,5371477041747980416
1,1282201708139577728
1,1283588948216182144
1,1288516512657371520
4,1288793417788379904
2,1299018326170303872
4,1292896314146673280
3,1299269770736698752
1,1289664608954633600
1,1297579134169680640
0,1290011814110089856
1,1299574541615703808
3,1290179111676313472
1,1297733890431325824
4,1290324281571170432
3,1924675798546898432
3,861391601435383168
3,4491761533569601408
3,4491572348849902080
2,4532226241539435776
3,4247109476159250304
3,466061680281607936
3,5373845939546674176
3,5375071070376894720
3,5815239900368300672
4,1005970817779224192
1,5826684506438877312
1,4741210588419891328
1,2698639827385703040
4,5089515187536625152
3,5093499817676275840
0,5080395975535412224
3,4571528800062082304
0,4569452922110435072
1,4568525346613009280
0,3491921322045719168
1,5402264604269711744
1,1635193937643268224
0,1635255647733527808
3,1641066429247008128
1,1640172045257494400
1,6499185164174198272
3,6499282883269932032
4,6495844916568623872
3,6499762751376536960
1,6503631417398183296
4,6493821952612404992
0,6493840472511413888
3,6501242625307808768
4,6504336101272715776
0,6504398666059487360
3,6495280523505836032
1,4675704017802764288
0,3478713541696675840
1,3517483833518865792
3,4501839244835543808
3,4374395985929111040
0,1050819931434947456
0,1067578412787651200
0,3009621955271026560
3,4327059841392850048
0,356687520582971648
4,6410920425145899904
4,6415930757897785728
1,6419276644799830528
0,6077124328651304832
1,2853546142267916032
3,6800533706181608064
1,6074419697532999424
4,6074572602686244608
4,5854102104523108352
1,4913077690499423744
1,4926034507320066560
1,4924426712082712960
3,4930650738169736320
1,4932956860729642112
0,5448344621194115712
1,4461229882373653504
0,4461431093005969792
1,4466497883098750720
4,4461631753878328064
1,6079361559926752896
1,6079631833629273344
2,6146704585536995200
1,4579314373182842624
4,4578242040109835008
3,1547135288327255680
0,1543143133406490880
4,1523361750988614144
4,1543778891645673216
1,1525221746705715840
4,1525423472729642496
3,4556394469186188928
3,4556532389176894208
0,4557613896298952704
3,4555287119237156352
4,6630824743570863232
3,2913345624768122624
0,1959480701689052800
1,1960147349330908288
4,395587211188275456
0,4862557673823719168
1,5809160391335055744
4,4585138658073508224
2,3574002785636820992
3,4898713498795764864
3,4894875893977738240
3,4896209876459805824
1,6521428937240337664
0,6526247134632362240
4,6539382003618534272
4,6525019839136424704
0,1447953429624110464
3,1448117806612876160
3,1449873005127905024
4,1457994101091010816
3,1476101580131086720
1,1476616770047989632
1,1466291977906267520
1,1472345820208696320
0,1462503541873205760
1,1462735779344712960
4,1479428083841642752
