cluster_id,source_id
0,6764981032059026432
3,4421572593905165312
3,4421573586041974272
2,4064585353333320192
2,4050557096779874176
1,1328056909304244736
2,6764719627467200256
1,4690839791797269760
2,1468093493348280704
2,4051428253592491264
3,6174858714635802112
0,2843129918863259904
2,6220545312556190848
2,4206291683221039488
0,2569873276172708992
1,4205705643522499200
1,134486494170629376
3,6105045185176298624
3,4421573384179205376
3,4421573448603044864
4,3643826653082148352
3,4075770552050711936
4,3612243417796924928
1,6283902196204443520
0,2904834992450804864
3,4048632749654348800
2,5413575727073869824
3,6331901754271316224
2,4043010461284145920
0,4271441080062538880
2,4076660396178800640
0,864933437626647680
1,4093573294591359104
1,1328056836284934784
1,1328057149822883328
0,93064901853706240
4,2380986142116914048
3,6118129102967213440
1,4202490469695548032
1,1360405743980399360
3,1360408320961131264
0,3360116987708299392
1,4690839418132038272
1,4075616173690740480
1,4963625469843346176
2,1796945803329276800
3,3829102230742061312
4,3830484076339859968
3,4051499554478224256
2,6664435405279567360
4,3782139134182064768
2,6736772855087759616
0,3993566282376020096
3,2594644276714012288
0,2594851049324276992
1,6380098228000598784
1,4145372004537243136
3,4042585774920425344
2,3139761624707303296
2,5956678739730554496
4,6083704424726722048
4,4203375847102835840
1,4073017237454498176
3,4421478924962331904
3,4421478924962333184
3,4421479204133344128
3,4421573379883544704
4,4101374673115771648
1,4077540177284146432
0,2730720316804083072
2,6119755108863236352
2,6712993206016290432
3,6335718468369982336
0,6338857196109948288
0,2500498868463681408
0,4051427635112517888
2,6652879297554561664
2,5413575692714143360
2,5413576341244651008
4,6327421965943229312
2,4046895585620658048
0,4049629108969721728
2,4204018992685273984
3,6283065364776593664
2,4263964061727100544
1,4261348632799691264
0,6124743318239781376
1,6300536948139175552
2,4051939187285581184
1,2702182492504929280
1,1328056973723815680
1,1328057454760075136
1,1328058077536011520
1,1328058210674361216
0,1630118278435531520
1,2677768932026624000
1,4050100043546424960
3,4184044714699882624
1,5904231931979207424
3,1360405602243606272
2,4074418805517050368
4,4202689550020308608
1,2219620101937759104
2,4085222911702099584
2,4199407164207127680
0,3104361752637736064
3,4086854110254253696
2,6761604092569080704
4,4262877224515525120
1,6737284922598545536
4,6762031729554319872
1,4071752210629806080
2,137236613269538688
4,3831625747366664064
0,3835802207925298432
3,1153525965420141568
1,4079145365541294464
1,4048814959333377664
3,4288095421361887872
3,6228798727870370560
1,6226975462718340480
1,6230166589054715264
2,4101779460875474176
4,6736727332764565504
2,3357627899544324864
0,3901013349215567232
3,4018534065434506240
4,4018613298991168256
2,3997236490844777344
1,3660842695033255552
4,3654604169136500224
3,3664247882544381056
4,3657088927976607232
1,6219403882047421056
1,4264333699467343872
4,4104640772462124928
2,2595822265984144384
4,2596220048675131264
1,4260795333603605248
2,4254059111293499520
1,6259517639641347968
2,4073054032397561344
2,4073222807436290944
2,4073129593788554880
3,6208990751022067840
0,1195600491548473856
1,4088967405943870592
4,3140527503274182016
2,299543908420663040
0,1768444335928251904
2,6168466841226742912
2,4043051078869648896
3,2624712380680566016
2,2628762290027447424
4,6764864625563245440
3,5671040633994764416
0,5673361458227661824
0,5671496072326996224
4,30677920603177728
4,35899295165430144
1,6083893953012387840
1,6083704317318722688
4,4421620319581941120
3,4421478104621669760
3,4421478963615164544
4,4421573109297805184
3,4421573521618176256
3,4421573521618184192
3,4421573620401716608
1,6714900205857053312
3,6790431260202780416
3,4045025011455371648
0,3641153358062790400
0,3647443874538468608
0,3640292616551981056
4,25581722863889920
3,2412997701605003264
1,2403695940608795264
0,2722991437255349248
1,2723197320807819392
3,2727920788401028608
1,6114474841713931904
2,4041669301950590336
2,6121351702825674496
2,4084949446861936768
2,4084954325947676800
1,6291216143257242368
2,6290243698237285120
2,6731377109155014656
2,4086499552102058752
3,4173072859970321152
1,4096518817500332928
1,6719515676494819072
3,5958322097312264832
3,4046409017369744640
0,6335559657659187968
1,4058020169392691840
3,6729324488444384128
1,3360345686127131264
0,3361128847645759744
2,6662640001572026112
1,4048605120049429120
3,6270452935614563968
2,5413574829416159104
2,5413575520915339648
2,5413575692714147712
1,4042747613649607296
0,2419989259823388928
2,4110366169992391936
0,6329819244889477888
4,6330366763024676608
0,6324130990202598272
1,6324916591260584576
1,4100363878388399360
1,4507500595864083840
3,4077395183537167488
2,6728225286053185152
4,6277791759117071744
2,332962258678636800
0,333789881696071680
4,4049354299779500928
2,6733996420751652608
1,4098890803311961600
0,2737334841317921536
3,4091120696429892992
3,3823418339742033920
4,3818745071726735744
2,6025801599766344832
0,5173976715844335232
2,4049002254332333824
1,4051953270390828416
4,6303912792434121600
3,6303942273089295616
3,6304094933406963968
2,4087141460725433600
2,4087535051531824384
2,6761365842153603968
3,4039194949780630400
1,4081392904693317760
2,6211045944410021632
1,4044242395343143168
0,3496374511641274496
2,2386979206338353280
1,2387120149984828672
1,4048423941146920448
4,2678492689850797440
4,2681473672032159104
3,4212520180394124928
2,3755408357243689728
0,3753787088693343360
0,4207585469116576384
3,6727084787582321536
1,4037670648709680768
1,4202552587777477632
2,5951592875637539840
2,4073885782903560192
0,2663843690275856000
2,2636703066082001664
3,4102847434646061568
1,1360404640170898176
1,6705730622480070400
0,4657964261073981056
2,4048087421869545216
2,6733529643698627200
2,6770082701593793280
2,4102131789969632640
4,4689626450659358592
2,3123929657997664896
2,4084003145297176832
1,6715192985188914304
3,5350999599785850880
2,6754580068673374720
4,6755475410437362432
1,6225848978692988160
0,4160858836311013120
0,4396037020466525440
1,4078197826997080704
0,3771799704791823744
0,3768952863029332224
2,3776127137745177344
4,3776165590587869952
1,3779987424286459136
3,6541978225445591296
3,1454878458800896128
2,4065087005506456192
1,6757332554302601088
1,4085227485867977600
0,3103441186528583296
2,6771140564920473472
3,4075678124294475136
0,2611565829385030784
1,2615200260774970240
4,4658165536126688384
1,4262972950749498240
3,4239469897574128640
3,3383587025477632000
1,6745781742272176000
0,3155674517195993216
1,6737096493790550912
1,6733037195613828992
3,6732580936952772992
3,6256327436716213760
3,1185029791054191232
1,4071639824272282240
0,3352456003006034304
2,3835565263169252608
4,3831848157953027968
1,1159975249656164864
0,3833485773147999616
2,3833615275002320896
3,1161508351118139264
0,1161761170073214976
3,3834870917281218560
1,1153176904838033408
4,1166676571164925824
2,6665157406461283584
4,3782002451142855040
1,6175403728805764992
2,4471997983867720320
2,4048773246602555136
1,2331742697096209408
2,2330462006567945984
4,2332478132936207360
3,2332781112813906304
1,6228657578065023488
4,6228804431586937856
2,6227885480384491392
1,6228898439831220992
4,6228939534078230144
2,6226169383251714688
4,6228212756892429952
1,6229232141610172416
1,6230652779352406912
3,6226628635523582080
2,5906718443162772480
0,3031507184473162880
2,3885241748268029952
0,3885382417036788352
3,3875557009332409216
2,3875983581188838400
3,6706672903948482176
0,4005257222011162624
1,4005334634501680000
1,3656491618284636800
1,2595945338271438336
0,4077211492020838144
2,4185203088873376896
2,6095602995933010560
0,4090362235299534592
4,4276331883880893696
0,4201640237957436288
2,6703306985313416704
2,5907791325988908544
1,6258168053541681408
2,6726313514527266688
